epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,11677.9,0.85633,1.40553,0.99282,0.87847,0.7481,0.81984,0.45872,1.61876,2.30372,1.3614,6.54531e-05,6.54531e-05,6.54531e-05
91,11784.2,0.85517,1.28144,0.96853,0.8665,0.74677,0.81435,0.45168,1.6293,2.27156,1.36578,5.70564e-05,5.70564e-05,5.70564e-05
92,11890.4,0.85316,1.26852,0.9742,0.85872,0.75076,0.8165,0.45182,1.62019,2.2636,1.34769,4.94343e-05,4.94343e-05,4.94343e-05
93,11996.6,0.84328,1.24378,0.96374,0.8571,0.75456,0.82364,0.46235,1.62343,2.27277,1.3427,4.25941e-05,4.25941e-05,4.25941e-05
94,12102.4,0.83173,1.24406,0.96877,0.86461,0.75209,0.82349,0.46505,1.62884,2.29814,1.36067,3.65426e-05,3.65426e-05,3.65426e-05
95,12208.3,0.8318,1.23005,0.96256,0.86843,0.7509,0.82617,0.46732,1.61597,2.30003,1.35731,3.12859e-05,3.12859e-05,3.12859e-05
96,12314.2,0.85131,1.26025,0.96708,0.8266,0.78553,0.81704,0.46542,1.60995,2.29225,1.35536,2.68292e-05,2.68292e-05,2.68292e-05
97,12420.3,0.83303,1.23078,0.95744,0.86915,0.75597,0.82162,0.46619,1.60721,2.29309,1.35287,2.31767e-05,2.31767e-05,2.31767e-05
98,12526.5,0.83667,1.24704,0.96441,0.87303,0.74691,0.81313,0.46556,1.60787,2.29016,1.35537,2.03321e-05,2.03321e-05,2.03321e-05
99,12632.8,0.82718,1.22126,0.96213,0.81112,0.80652,0.81837,0.4687,1.6038,2.29914,1.35254,1.82983e-05,1.82983e-05,1.82983e-05
100,12738.8,0.83494,1.23105,0.96565,0.81059,0.80221,0.82051,0.47021,1.60329,2.30282,1.3497,1.70772e-05,1.70772e-05,1.70772e-05
